gene_id	gene_name	chromosome	start	end	strand	biotype	biotype_family	length	GC_content	no_of_transcripts
YDL219W	DTD1	IV	65242	65765	+	protein_coding	coding	523	0.359	1
YDL218W		IV	66493	67446	+	protein_coding	coding	953	0.452	1
YDL217C	TIM22	IV	67983	68606	-	protein_coding	coding	623	0.432	1
YDL216C	RRI1	IV	68997	70319	-	protein_coding	coding	1322	0.375	1
YDL215C	GDH2	IV	70640	73918	-	protein_coding	coding	3278	0.367	1
YDL214C	PRR2	IV	74446	76545	-	protein_coding	coding	2099	0.396	1
YDL213C	NOP6	IV	77289	77966	-	protein_coding	coding	677	0.422	1
YDL212W	SHR3	IV	78426	79058	+	protein_coding	coding	632	0.389	1
YDL211C		IV	79294	80412	-	protein_coding	coding	1118	0.400	1
tG(GCC)D1		IV	83548	83618	+	tRNA	snoncoding	70	0.571	1
YDL210W	UGA4	IV	84270	85985	+	protein_coding	coding	1715	0.403	1
YDL209C	CWC2	IV	86207	87226	-	protein_coding	coding	1019	0.400	1
YDL208W	NHP2	IV	87512	87982	+	protein_coding	coding	470	0.417	1
YDL207W	GLE1	IV	88248	89864	+	protein_coding	coding	1616	0.394	1
YDL206W		IV	90176	92464	+	protein_coding	coding	2288	0.354	1
YDL205C	HEM3	IV	92762	93745	-	protein_coding	coding	983	0.416	1
YDL204W	RTN2	IV	94605	95786	+	protein_coding	coding	1181	0.422	1
YDL203C	ACK1	IV	96082	97953	-	protein_coding	coding	1871	0.413	1
YDL202W	MRPL11	IV	98475	99224	+	protein_coding	coding	749	0.410	1
YDL201W	TRM8	IV	99561	100421	+	protein_coding	coding	860	0.401	1
YDL200C	MGT1	IV	100501	101067	-	protein_coding	coding	566	0.369	1
YDL199C		IV	101290	103353	-	protein_coding	coding	2063	0.393	1
YDL198C	GGC1	IV	103649	104551	-	protein_coding	coding	902	0.425	1
YDL197C	ASF2	IV	104917	106494	-	protein_coding	coding	1577	0.432	1
YDL196W		IV	106741	107070	+	protein_coding	coding	329	0.432	1
YDL195W	SEC31	IV	107208	111029	+	protein_coding	coding	3821	0.422	1
YDL194W	SNF3	IV	111580	114234	+	protein_coding	coding	2654	0.401	1
YDL193W	NUS1	IV	114672	115799	+	protein_coding	coding	1127	0.387	1
YDL192W	ARF1	IV	116321	116866	+	protein_coding	coding	545	0.398	1
YDL191W	RPL35A	IV	117664	118517	+	protein_coding	coding	853	0.361	1
YDL190C	UFD2	IV	118707	121592	-	protein_coding	coding	2885	0.375	1
YDL189W	RBS1	IV	122216	123589	+	protein_coding	coding	1373	0.400	1
YDL188C	PPH22	IV	123865	124998	-	protein_coding	coding	1133	0.416	1
YDL187C		IV	125509	125838	-	protein_coding	coding	329	0.401	1
YDL186W		IV	125616	126449	+	protein_coding	coding	833	0.439	1
YDL185C-A		IV	126608	126835	-	protein_coding	coding	227	0.317	1
YDL185W	VMA1	IV	126787	130002	+	protein_coding	coding	3215	0.412	1
YDL184C	RPL41A	IV	130407	130484	-	protein_coding	coding	77	0.429	1
YDL183C		IV	130871	131833	-	protein_coding	coding	962	0.371	1
YDL182W	LYS20	IV	133437	134723	+	protein_coding	coding	1286	0.442	1
YDL181W	INH1	IV	135179	135436	+	protein_coding	coding	257	0.459	1
YDL180W		IV	135896	137539	+	protein_coding	coding	1643	0.386	1
YDL179W	PCL9	IV	138291	139205	+	protein_coding	coding	914	0.385	1
YDL178W	DLD2	IV	139522	141114	+	protein_coding	coding	1592	0.387	1
YDL177C		IV	141209	141721	-	protein_coding	coding	512	0.402	1
YDL176W		IV	142097	144223	+	protein_coding	coding	2126	0.365	1
YDL175C	AIR2	IV	144484	145518	-	protein_coding	coding	1034	0.395	1
YDL174C	DLD1	IV	145826	147589	-	protein_coding	coding	1763	0.448	1
YDL173W	PAR32	IV	148191	149078	+	protein_coding	coding	887	0.443	1
YDL172C		IV	148607	149086	-	protein_coding	coding	479	0.413	1
YDL171C	GLT1	IV	149203	155640	-	protein_coding	coding	6437	0.400	1
YDL170W	UGA3	IV	156318	157904	+	protein_coding	coding	1586	0.385	1
YDL169C	UGX2	IV	158064	158735	-	protein_coding	coding	671	0.408	1
YDL168W	SFA1	IV	159604	160764	+	protein_coding	coding	1160	0.428	1
YDL167C	NRP1	IV	160995	163154	-	protein_coding	coding	2159	0.377	1
YDL166C	FAP7	IV	163449	164042	-	protein_coding	coding	593	0.430	1
YDL165W	CDC36	IV	164290	164865	+	protein_coding	coding	575	0.416	1
YDL164C	CDC9	IV	164987	167254	-	protein_coding	coding	2267	0.400	1
YDL163W		IV	166956	167258	+	protein_coding	coding	302	0.430	1
YDL162C		IV	167359	167715	-	protein_coding	coding	356	0.416	1
YDL161W	ENT1	IV	167714	169078	+	protein_coding	coding	1364	0.411	1
YDL160C-A	MHF2	IV	169366	169608	-	protein_coding	coding	242	0.388	1
YDL160C	DHH1	IV	170410	171930	-	protein_coding	coding	1520	0.393	1
YDL159W-A	YDL159W-A	IV	172182	172313	+	protein_coding	coding	131	0.321	1
YDL159W	STE7	IV	172481	174028	+	protein_coding	coding	1547	0.383	1
YDL159C-B	YDL159C-B	IV	173056	173232	-	protein_coding	coding	176	0.386	1
YDL158C		IV	173866	174174	-	protein_coding	coding	308	0.292	1
YDL157C		IV	174232	174588	-	protein_coding	coding	356	0.390	1
YDL156W	CMR1	IV	174918	176486	+	protein_coding	coding	1568	0.422	1
YDL155W	CLB3	IV	176773	178056	+	protein_coding	coding	1283	0.415	1
YDL154W	MSH5	IV	178334	181039	+	protein_coding	coding	2705	0.366	1
YDL153C	SAS10	IV	181186	183018	-	protein_coding	coding	1832	0.383	1
YDL152W		IV	182822	183187	+	protein_coding	coding	365	0.367	1
YDL151C	BUD30	IV	183318	183899	-	protein_coding	coding	581	0.439	1
YDL150W	RPC53	IV	183343	184611	+	protein_coding	coding	1268	0.427	1
YDL149W	ATG9	IV	184925	187918	+	protein_coding	coding	2993	0.372	1
YDL148C	NOP14	IV	188154	190586	-	protein_coding	coding	2432	0.364	1
YDL147W	RPN5	IV	190924	192261	+	protein_coding	coding	1337	0.359	1
YDL146W	LDB17	IV	192750	194225	+	protein_coding	coding	1475	0.364	1
YDL145C	COP1	IV	194571	198176	-	protein_coding	coding	3605	0.399	1
YDL144C		IV	198662	199732	-	protein_coding	coding	1070	0.486	1
YDL143W	CCT4	IV	199996	201582	+	protein_coding	coding	1586	0.420	1
YDL142C	CRD1	IV	201719	202570	-	protein_coding	coding	851	0.389	1
YDL141W	BPL1	IV	203039	205111	+	protein_coding	coding	2072	0.403	1
YDL140C	RPO21	IV	205360	210561	-	protein_coding	coding	5201	0.409	1
YDL139C	SCM3	IV	211375	212046	-	protein_coding	coding	671	0.407	1
YDL138W	RGT2	IV	213351	215642	+	protein_coding	coding	2291	0.426	1
YDL137W	ARF2	IV	216529	217074	+	protein_coding	coding	545	0.420	1
YDL136W	RPL35B	IV	217600	218367	+	protein_coding	coding	767	0.372	1
YDL135C	RDI1	IV	218680	219288	-	protein_coding	coding	608	0.370	1
YDL134C	PPH21	IV	219662	220771	-	protein_coding	coding	1109	0.417	1
YDL133C-A	RPL41B	IV	221724	221801	-	protein_coding	coding	77	0.416	1
YDL133W	SRF1	IV	222427	223740	+	protein_coding	coding	1313	0.392	1
YDL132W	CDC53	IV	224304	226751	+	protein_coding	coding	2447	0.376	1
YDL131W	LYS21	IV	227393	228715	+	protein_coding	coding	1322	0.424	1
YDL130W-A	STF1	IV	229171	229431	+	protein_coding	coding	260	0.388	1
YDL130W	RPP1B	IV	229906	230527	+	protein_coding	coding	621	0.425	1
YDL129W		IV	231024	231899	+	protein_coding	coding	875	0.426	1
YDL128W	VCX1	IV	232652	233887	+	protein_coding	coding	1235	0.421	1
YDL127W	PCL2	IV	234927	235853	+	protein_coding	coding	926	0.383	1
YDL126C	CDC48	IV	236157	238664	-	protein_coding	coding	2507	0.418	1
YDL125C	HNT1	IV	239019	239606	-	protein_coding	coding	587	0.421	1
YDL124W		IV	240259	241197	+	protein_coding	coding	938	0.409	1
YDL123W	SNA4	IV	241418	241840	+	protein_coding	coding	422	0.464	1
YDL122W	UBP1	IV	242552	244981	+	protein_coding	coding	2429	0.373	1
YDL121C		IV	245133	245582	-	protein_coding	coding	449	0.367	1
YDL120W	YFH1	IV	245923	246447	+	protein_coding	coding	524	0.408	1
YDL119C	HEM25	IV	246689	247612	-	protein_coding	coding	923	0.398	1
YDL118W		IV	247302	247682	+	protein_coding	coding	380	0.413	1
YDL117W	CYK3	IV	248581	251238	+	protein_coding	coding	2657	0.387	1
YDL116W	NUP84	IV	251566	253746	+	protein_coding	coding	2180	0.367	1
YDL115C	IWR1	IV	253995	255126	-	protein_coding	coding	1131	0.376	1
YDL114W-A		IV	254935	255048	+	protein_coding	coding	113	0.345	1
YDL114W		IV	255604	256530	+	protein_coding	coding	926	0.376	1
YDL113C	ATG20	IV	256633	258555	-	protein_coding	coding	1922	0.372	1
YDL112W	TRM3	IV	258915	263225	+	protein_coding	coding	4310	0.365	1
YDL111C	RRP42	IV	263313	264110	-	protein_coding	coding	797	0.408	1
YDL110C	TMA17	IV	264512	264964	-	protein_coding	coding	452	0.473	1
YDL109C		IV	265258	267201	-	protein_coding	coding	1943	0.419	1
YDL108W	KIN28	IV	267698	268699	+	protein_coding	coding	1001	0.391	1
YDL107W	MSS2	IV	268921	269976	+	protein_coding	coding	1055	0.359	1
YDL106C	PHO2	IV	270222	271901	-	protein_coding	coding	1679	0.370	1
YDL105W	NSE4	IV	272389	273597	+	protein_coding	coding	1208	0.373	1
YDL104C	QRI7	IV	273653	274876	-	protein_coding	coding	1223	0.392	1
YDL103C	QRI1	IV	275148	276581	-	protein_coding	coding	1433	0.403	1
YDL102W	POL3	IV	276872	280165	+	protein_coding	coding	3293	0.379	1
YDL101C	DUN1	IV	280307	281848	-	protein_coding	coding	1541	0.380	1
YDL100C	GET3	IV	282112	283176	-	protein_coding	coding	1064	0.397	1
YDL099W	BUG1	IV	283419	284444	+	protein_coding	coding	1025	0.383	1
YDL098C	SNU23	IV	284581	285165	-	protein_coding	coding	584	0.375	1
YDL097C	RPN6	IV	285391	286695	-	protein_coding	coding	1304	0.413	1
YDL096C	OPI6	IV	286998	287324	-	protein_coding	coding	326	0.488	1
YDL095W	PMT1	IV	287059	289512	+	protein_coding	coding	2453	0.428	1
YDL094C		IV	289572	290081	-	protein_coding	coding	509	0.354	1
YDL093W	PMT5	IV	289909	292140	+	protein_coding	coding	2231	0.393	1
YDL092W	SRP14	IV	292781	293221	+	protein_coding	coding	440	0.380	1
YDL091C	UBX3	IV	293392	294759	-	protein_coding	coding	1367	0.375	1
YDL090C	RAM1	IV	295034	296329	-	protein_coding	coding	1295	0.399	1
YDL089W	NUR1	IV	296820	298274	+	protein_coding	coding	1454	0.353	1
YDL088C	ASM4	IV	298417	300003	-	protein_coding	coding	1586	0.379	1
YDL087C	LUC7	IV	300214	300999	-	protein_coding	coding	785	0.464	1
YDL086W		IV	301413	302234	+	protein_coding	coding	821	0.469	1
YDL086C-A		IV	301655	302089	-	protein_coding	coding	434	0.475	1
YDL085C-A		IV	302464	302670	-	protein_coding	coding	206	0.417	1
YDL085W	NDE2	IV	303211	304848	+	protein_coding	coding	1637	0.436	1
YDL084W	SUB2	IV	305237	306577	+	protein_coding	coding	1340	0.390	1
YDL083C	RPS16B	IV	306926	307789	-	protein_coding	coding	863	0.394	1
YDL082W	RPL13A	IV	308424	309388	+	protein_coding	coding	964	0.390	1
YDL081C	RPP1A	IV	309802	310122	-	protein_coding	coding	320	0.466	1
YDL080C	THI3	IV	310642	312471	-	protein_coding	coding	1829	0.410	1
YDL079C	MRK1	IV	312951	314748	-	protein_coding	coding	1797	0.377	1
YDL078C	MDH3	IV	315357	316388	-	protein_coding	coding	1031	0.440	1
YDL077C	VAM6	IV	316971	320120	-	protein_coding	coding	3149	0.358	1
YDL076C	RXT3	IV	320668	321552	-	protein_coding	coding	884	0.386	1
YDL075W	RPL31A	IV	322226	322988	+	protein_coding	coding	762	0.356	1
snR63	SNR63	IV	323217	323471	-	snoRNA	snoncoding	254	0.327	1
YDL074C	BRE1	IV	324047	326149	-	protein_coding	coding	2102	0.359	1
YDL073W	AHK1	IV	326613	329567	+	protein_coding	coding	2954	0.343	1
YDL072C	YET3	IV	329836	330447	-	protein_coding	coding	611	0.412	1
YDL071C	YDL071C	IV	330666	331040	-	protein_coding	coding	374	0.455	1
YDL070W	BDF2	IV	331024	332940	+	protein_coding	coding	1916	0.368	1
YDL069C	CBS1	IV	333121	333810	-	protein_coding	coding	689	0.337	1
YDL068W		IV	333500	333829	+	protein_coding	coding	329	0.377	1
YDL067C	COX9	IV	334217	334396	-	protein_coding	coding	179	0.480	1
YDL066W	IDP1	IV	334835	336121	+	protein_coding	coding	1286	0.425	1
YDL065C	PEX19	IV	336249	337277	-	protein_coding	coding	1028	0.372	1
YDL064W	UBC9	IV	337487	338070	+	protein_coding	coding	583	0.384	1
YDL063C	SYO1	IV	338272	340134	-	protein_coding	coding	1862	0.356	1
YDL062W		IV	339857	340282	+	protein_coding	coding	425	0.365	1
YDL061C	RPS29B	IV	340628	340798	-	protein_coding	coding	170	0.453	1
YDL060W	TSR1	IV	341619	343985	+	protein_coding	coding	2366	0.399	1
YDL059C	RAD59	IV	344237	344953	-	protein_coding	coding	716	0.422	1
YDL058W	USO1	IV	345665	351037	+	protein_coding	coding	5372	0.358	1
YDL057W		IV	351434	352420	+	protein_coding	coding	986	0.417	1
YDL056W	MBP1	IV	352877	355378	+	protein_coding	coding	2501	0.381	1
YDL055C	PSA1	IV	355674	356759	-	protein_coding	coding	1085	0.417	1
tK(UUU)D		IV	359577	359672	+	tRNA	snoncoding	95	0.505	1
YDL054C	MCH1	IV	359825	361285	-	protein_coding	coding	1460	0.412	1
YDL053C	PBP4	IV	361699	362256	-	protein_coding	coding	557	0.425	1
YDL052C	SLC1	IV	362672	363583	-	protein_coding	coding	911	0.424	1
YDL051W	LHP1	IV	363952	364779	+	protein_coding	coding	827	0.405	1
YDL050C		IV	364446	364817	-	protein_coding	coding	371	0.385	1
YDL049C	KNH1	IV	365068	365874	-	protein_coding	coding	806	0.427	1
YDL048C	STP4	IV	366739	368211	-	protein_coding	coding	1472	0.448	1
YDL047W	SIT4	IV	369771	370706	+	protein_coding	coding	935	0.451	1
YDL046W	NPC2	IV	371240	371761	+	protein_coding	coding	521	0.436	1
YDL045W-A	MRP10	IV	372248	372535	+	protein_coding	coding	287	0.401	1
YDL045C	FAD1	IV	372688	373608	-	protein_coding	coding	920	0.392	1
YDL044C	MTF2	IV	373967	375289	-	protein_coding	coding	1322	0.371	1
YDL043C	PRP11	IV	375680	376480	-	protein_coding	coding	800	0.371	1
YDL042C	SIR2	IV	376757	378445	-	protein_coding	coding	1688	0.397	1
YDL041W		IV	378102	378455	+	protein_coding	coding	353	0.445	1
YDL040C	NAT1	IV	378874	381438	-	protein_coding	coding	2564	0.382	1
YDL039C	PRM7	IV	381985	384081	-	protein_coding	coding	2096	0.429	1
YDL037C	BSC1	IV	384601	385587	-	protein_coding	coding	986	0.400	1
YDL036C	PUS9	IV	387513	388901	-	protein_coding	coding	1388	0.384	1
YDL035C	GPR1	IV	389172	392057	-	protein_coding	coding	2885	0.365	1
YDL034W		IV	391783	392127	+	protein_coding	coding	344	0.439	1
YDL033C	SLM3	IV	392659	393912	-	protein_coding	coding	1253	0.456	1
YDL032W		IV	393690	394001	+	protein_coding	coding	311	0.431	1
YDL031W	DBP10	IV	394217	397204	+	protein_coding	coding	2987	0.389	1
YDL030W	PRP9	IV	397537	399129	+	protein_coding	coding	1592	0.378	1
YDL029W	ARP2	IV	399340	400638	+	protein_coding	coding	1298	0.411	1
YDL028C	MPS1	IV	400997	403291	-	protein_coding	coding	2294	0.369	1
YDL027C	MRX9	IV	403695	404957	-	protein_coding	coding	1262	0.358	1
YDL026W		IV	404749	405060	+	protein_coding	coding	311	0.399	1
YDL025C	RTK1	IV	405344	407206	-	protein_coding	coding	1862	0.401	1
YDL025W-A		IV	405410	405514	+	protein_coding	coding	104	0.423	1
YDL024C	DIA3	IV	408451	409857	-	protein_coding	coding	1406	0.399	1
YDL022C-A		IV	409808	410056	-	protein_coding	coding	248	0.403	1
tA(AGC)D		IV	410379	410451	+	tRNA	snoncoding	72	0.639	1
YDL023C	YDL023C	IV	411761	412081	-	protein_coding	coding	320	0.406	1
YDL022W	GPD1	IV	411825	413000	+	protein_coding	coding	1175	0.439	1
YDL021W	GPM2	IV	413953	414888	+	protein_coding	coding	935	0.375	1
YDL020C	RPN4	IV	415113	416708	-	protein_coding	coding	1595	0.384	1
YDL019C	OSH2	IV	417663	421514	-	protein_coding	coding	3851	0.404	1
YDL018C	ERP3	IV	422833	423510	-	protein_coding	coding	677	0.383	1
YDL017W	CDC7	IV	424209	425732	+	protein_coding	coding	1523	0.385	1
YDL016C		IV	425570	425872	-	protein_coding	coding	302	0.338	1
YDL015C	TSC13	IV	426002	426934	-	protein_coding	coding	932	0.353	1
YDL014W	NOP1	IV	427364	428347	+	protein_coding	coding	983	0.475	1
YDL013W	SLX5	IV	429067	430926	+	protein_coding	coding	1859	0.428	1
YDL012C		IV	431108	431517	-	protein_coding	coding	409	0.443	1
YDL011C		IV	432308	432631	-	protein_coding	coding	323	0.375	1
YDL010W	GRX6	IV	432330	433025	+	protein_coding	coding	695	0.380	1
YDL009C		IV	432925	433248	-	protein_coding	coding	323	0.356	1
YDL008W	APC11	IV	433497	433994	+	protein_coding	coding	497	0.431	1
tT(AGU)D		IV	434264	434336	-	tRNA	snoncoding	72	0.486	1
YDL007C-A		IV	436567	436824	-	protein_coding	coding	257	0.354	1
tS(AGA)D1		IV	437772	437853	+	tRNA	snoncoding	81	0.531	1
YDL007W	RPT2	IV	438047	439360	+	protein_coding	coding	1313	0.391	1
YDL006W	PTC1	IV	439909	440754	+	protein_coding	coding	845	0.383	1
YDL005C	MED2	IV	441014	442309	-	protein_coding	coding	1295	0.383	1
YDL004W	ATP16	IV	443029	443511	+	protein_coding	coding	482	0.398	1
YDL003W	MCD1	IV	444683	446383	+	protein_coding	coding	1700	0.384	1
YDL002C	NHP10	IV	446967	447578	-	protein_coding	coding	611	0.380	1
YDL001W	RMD1	IV	447984	449276	+	protein_coding	coding	1292	0.375	1
YDR001C	NTH1	IV	450220	452475	-	protein_coding	coding	2255	0.407	1
YDR002W	YRB1	IV	453045	453650	+	protein_coding	coding	605	0.412	1
YDR003W	RCR2	IV	454122	454754	+	protein_coding	coding	632	0.424	1
YDR003W-A		IV	454782	454904	+	protein_coding	coding	122	0.320	1
YDR004W	RAD57	IV	455201	456583	+	protein_coding	coding	1382	0.389	1
YDR005C	MAF1	IV	456836	458103	-	protein_coding	coding	1267	0.366	1
YDR006C	SOK1	IV	458542	461247	-	protein_coding	coding	2705	0.386	1
YDR007W	TRP1	IV	461842	462516	+	protein_coding	coding	674	0.421	1
YDR008C		IV	462252	462602	-	protein_coding	coding	350	0.394	1
YDR009W	GAL3	IV	463434	464996	+	protein_coding	coding	1562	0.414	1
YDR010C		IV	465051	465383	-	protein_coding	coding	332	0.488	1
YDR011W	SNQ2	IV	465919	470424	+	protein_coding	coding	4505	0.395	1
YDR012W	RPL4B	IV	471853	472941	+	protein_coding	coding	1088	0.483	1
YDR013W	PSF1	IV	473157	473783	+	protein_coding	coding	626	0.351	1
YDR014W	RAD61	IV	474046	475989	+	protein_coding	coding	1943	0.334	1
YDR014W-A	HED1	IV	477797	478285	+	protein_coding	coding	488	0.420	1
YDR015C		IV	477960	478199	-	protein_coding	coding	239	0.444	1
YDR016C	DAD1	IV	478474	478758	-	protein_coding	coding	284	0.391	1
YDR017C	KCS1	IV	479115	482267	-	protein_coding	coding	3152	0.384	1
YDR018C		IV	482670	483860	-	protein_coding	coding	1190	0.377	1
YDR019C	GCV1	IV	484163	485365	-	protein_coding	coding	1202	0.412	1
YDR020C	DAS2	IV	485746	486444	-	protein_coding	coding	698	0.370	1
YDR021W	FAL1	IV	486804	488003	+	protein_coding	coding	1199	0.353	1
YDR022C		IV	488072	488662	-	protein_coding	coding	590	0.368	1
tV(UAC)D		IV	488797	488870	-	tRNA	snoncoding	73	0.562	1
YDR023W	SES1	IV	489508	490896	+	protein_coding	coding	1388	0.380	1
YDR024W	FYV1	IV	491017	491502	+	protein_coding	coding	485	0.414	1
YDR025W	RPS11A	IV	491515	492324	+	protein_coding	coding	809	0.386	1
YDR026C	NSI1	IV	492556	494268	-	protein_coding	coding	1712	0.388	1
YDR027C	VPS54	IV	494649	497318	-	protein_coding	coding	2669	0.373	1
YDR028C	REG1	IV	497835	500879	-	protein_coding	coding	3044	0.390	1
YDR029W		IV	501100	501414	+	protein_coding	coding	314	0.341	1
YDR030C	RAD28	IV	501753	503273	-	protein_coding	coding	1520	0.368	1
YDR031W	MIX14	IV	503498	503863	+	protein_coding	coding	365	0.351	1
YDR032C	PST2	IV	504099	504695	-	protein_coding	coding	596	0.468	1
YDR033W	MRH1	IV	508147	509109	+	protein_coding	coding	962	0.398	1
YDR034C	LYS14	IV	509737	512109	-	protein_coding	coding	2372	0.361	1
YDR034C-D		IV	514043	519356	-	transposable_element		5313	0.367	1
YDR034C-C		IV	518040	519356	-	transposable_element		1316	0.382	1
tL(UAA)D		IV	519743	519826	+	tRNA	snoncoding	83	0.578	1
YDR034C-A		IV	520516	520692	-	protein_coding	coding	176	0.284	1
tQ(UUG)D1		IV	520972	521043	+	tRNA	snoncoding	71	0.507	1
YDR034W-B		IV	521314	521469	+	protein_coding	coding	155	0.419	1
YDR035W	ARO3	IV	521816	522928	+	protein_coding	coding	1112	0.418	1
YDR036C	EHD3	IV	523211	524713	-	protein_coding	coding	1502	0.394	1
YDR037W	KRS1	IV	525440	527215	+	protein_coding	coding	1775	0.407	1
YDR038C	ENA5	IV	527422	530697	-	protein_coding	coding	3275	0.414	1
YDR039C	ENA2	IV	531307	534582	-	protein_coding	coding	3275	0.415	1
YDR040C	ENA1	IV	535192	538467	-	protein_coding	coding	3275	0.414	1
YDR041W	RSM10	IV	539803	540414	+	protein_coding	coding	611	0.396	1
YDR042C		IV	540601	541203	-	protein_coding	coding	602	0.349	1
snR47	SNR47	IV	541602	541700	-	snoRNA	snoncoding	98	0.306	1
YDR043C	NRG1	IV	542674	543369	-	protein_coding	coding	695	0.370	1
YDR044W	HEM13	IV	546642	547628	+	protein_coding	coding	986	0.442	1
YDR045C	RPC11	IV	547978	548310	-	protein_coding	coding	332	0.392	1
YDR046C	BAP3	IV	548762	550576	-	protein_coding	coding	1814	0.416	1
YDR047W	HEM12	IV	551860	552948	+	protein_coding	coding	1088	0.440	1
YDR048C		IV	553084	553398	-	protein_coding	coding	314	0.334	1
YDR049W	VMS1	IV	553254	555152	+	protein_coding	coding	1898	0.394	1
YDR050C	TPI1	IV	555726	556472	-	protein_coding	coding	746	0.444	1
YDR051C	DET1	IV	557056	558060	-	protein_coding	coding	1004	0.389	1
YDR052C	DBF4	IV	558511	560625	-	protein_coding	coding	2114	0.379	1
YDR053W		IV	560249	560644	+	protein_coding	coding	395	0.413	1
YDR054C	CDC34	IV	561440	562327	-	protein_coding	coding	887	0.413	1
YDR055W	PST1	IV	563527	564861	+	protein_coding	coding	1334	0.415	1
YDR056C	EMC10	IV	565023	565640	-	protein_coding	coding	617	0.395	1
YDR057W	YOS9	IV	565927	567555	+	protein_coding	coding	1628	0.371	1
YDR058C	TGL2	IV	567723	568703	-	protein_coding	coding	980	0.365	1
tR(UCU)D		IV	568882	568953	+	tRNA	snoncoding	71	0.535	1
tD(GUC)D		IV	568964	569035	+	tRNA	snoncoding	71	0.577	1
YDR059C	UBC5	IV	569234	569770	-	protein_coding	coding	536	0.392	1
YDR060W	MAK21	IV	570649	573726	+	protein_coding	coding	3077	0.373	1
YDR061W		IV	574164	575783	+	protein_coding	coding	1619	0.407	1
YDR062W	LCB2	IV	576474	578159	+	protein_coding	coding	1685	0.398	1
YDR063W	AIM7	IV	578663	579112	+	protein_coding	coding	449	0.390	1
YDR064W	RPS13	IV	579458	580452	+	protein_coding	coding	994	0.380	1
YDR065W	RRG1	IV	580687	581784	+	protein_coding	coding	1097	0.350	1
YDR066C	RTR2	IV	581908	582498	-	protein_coding	coding	590	0.368	1
YDR067C	OCA6	IV	582791	583465	-	protein_coding	coding	674	0.349	1
YDR068W	DOS2	IV	583713	584645	+	protein_coding	coding	932	0.371	1
YDR069C	DOA4	IV	584939	587719	-	protein_coding	coding	2780	0.355	1
YDR070C	FMP16	IV	588098	588379	-	protein_coding	coding	281	0.423	1
YDR071C	PAA1	IV	588827	589402	-	protein_coding	coding	575	0.369	1
YDR072C	IPT1	IV	589761	591344	-	protein_coding	coding	1583	0.403	1
YDR073W	SNF11	IV	592439	592948	+	protein_coding	coding	509	0.409	1
YDR074W	TPS2	IV	593893	596583	+	protein_coding	coding	2690	0.397	1
YDR075W	PPH3	IV	597156	598082	+	protein_coding	coding	926	0.368	1
YDR076W	RAD55	IV	598468	599688	+	protein_coding	coding	1220	0.372	1
YDR077W	SED1	IV	600793	601809	+	protein_coding	coding	1016	0.469	1
YDR078C	SHU2	IV	602198	602869	-	protein_coding	coding	671	0.343	1
YDR079W	PET100	IV	603064	603399	+	protein_coding	coding	335	0.358	1
